2014-07-29 11:03:19.245 DEBUG[main|ROOT] 连接池数量：  2
2014-07-29 11:03:21.644 DEBUG[main|ROOT] insert SQL insert into XSYS_SKSQK( SSFW , SSLX , SSR , KSJG , TQSSRQ , TQSSCL , CHSSRQ , YSAJRQ , SJJSRQ , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.729 DEBUG[main|ROOT] insert SQL insert into XSYS_YASTML( XH , LY , BS , JS , LX , MC , XB , CSRQ , NL , GJ , MZ , SF , SFZHM , XYJRSF , JGZWXZ , JGGBJB , QTZJZL , QTZJHM , ZY , WHCD , HYZK , ZZMM , XZJB , SZDW , ZW , TSSF , TSSLHBL , HJSZD , JL , LDRY , WCNRJTBJ , JTJJZK , GJDQ , ZZJGDM , DWXZ , TSHY , FDDBR , DBRZJZL , DBRZJHM , DZ , YZBM , LXDH , DZYX , QTLXFF , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.762 DEBUG[main|ROOT] insert SQL insert into XSYS_XSPJCLQK( BGR , JCHBGQZCS , BKZKWCL , FHCWZJ , MSZKZWZJ , QTCWCL , XFJFZXRQ , CCXZXRQ , CCXZXJE , CCXZXWB , GPYY , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.772 DEBUG[main|ROOT] insert SQL insert into XSYS_XSFDMSSSGK( TQSSRQ , TQRLX , YGR , BGR , TCPCZE , LASPYJ , LASPRQ , JARQ , JAFS , SXRQ , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.785 DEBUG[main|ROOT] insert SQL insert into XSYS_QKLJQK( BGR , XH , CFNR , CFYY , PCJG , KSRQ , JSRQ , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.790 DEBUG[main|ROOT] insert SQL insert into XSYS_BAQX( SXQSRQ , SXJMRQ , LAQXJMRQ , SLJSRQ , FDLAQX , SJLATS , LACQTS , FDSXTS , SJSLTS , CSXTS , CSXBS , CSXYY , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.797 DEBUG[main|ROOT] insert SQL insert into XSYS_YSQK( XH , JBFY , AH , AY , SPCX , LARQ , JARQ , JAFS , SXRQ , TQXALY , TQXARQ , SXFLWSBH , YCPLX , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.805 DEBUG[main|ROOT] insert SQL insert into XSYS_SFJY( XH , TCRQ , JYDX , JYS , FKRQ , FKYJ , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.828 DEBUG[main|ROOT] insert SQL insert into XSYS_HBQK( XH , HBLX , SQHBRQ , HBYY , HBR , HBSQR , HBJG , HBJDR , HBJDRQ , HBJD , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.836 DEBUG[main|ROOT] insert SQL insert into XSYS_FYCL( XH , LX , SQR , SQRQ , CLRQ , CLJG , FYWS , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.842 DEBUG[main|ROOT] insert SQL insert into XSYS_FASSXWCL( XH , XWR , XWLX , CLRQ , CLJG , FKJE , FKJNRQ , JLTS , JLCS , CLWS , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.849 DEBUG[main|ROOT] insert SQL insert into XSYS_DZZM( BGR , XH , ZM , ZMZS , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.852 DEBUG[main|ROOT] insert SQL insert into XSYS_DZLXXX( BGR , XH , LXLX , ZKZM , FZDW , PCQK , WZYY , BFXSZRYY , DZZM , ZXZL , ZYXQN , ZYXQY , HXZL , HXXQN , HXXQY , DCFJX , BCFJX , BDZZQLZS , BDZZQLN , BDZZQLY , FJSE , MSCCJE , FDXYXCX , HXSPLXJG , LXSXRQ , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.860 DEBUG[main|ROOT] insert SQL insert into XSYS_STWJ( XH , STLB , STBH , XSMC , WJMC , WJGS , WJDX , CJR , CJSJ , ZJXGR , ZJXGSJ , BZ , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.865 DEBUG[main|ROOT] insert SQL insert into XSYS_SPZZCY( XH , YCY , XCY , JS , PSYYQF , BGRQ , BGYY , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.872 DEBUG[main|ROOT] insert SQL insert into XSYS_SWHTL( XH , TLRQ , YTLX , CJRY , TLYJ , DSRYJ , TLBL , TLJG , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.904 DEBUG[main|ROOT] insert SQL insert into XSYS_SLJD( AJJZJD , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,? )
2014-07-29 11:03:21.910 DEBUG[main|ROOT] insert SQL insert into XSYS_YCSXJL( XH , YY , SQRQ , PZJG , PZRQ , KSRQ , YCQJ , XGWS , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.916 DEBUG[main|ROOT] insert SQL insert into XSYS_QZCSJL( BGR , XH , FS , ZL , JG , SSRQ , JYCS , BGYY , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,? )
